longitude,latitude,housing_median_age,median_house_value,bedroom_ratio,household_rooms,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN
-122.23,37.88,41,452600,0.146590909,6.984126984,0,0,0,1,0
-122.22,37.86,21,358500,0.155796591,6.238137083,0,0,0,1,0
-122.24,37.85,52,352100,0.129516019,8.288135593,0,0,0,1,0
-122.25,37.85,52,341300,0.184458399,5.817351598,0,0,0,1,0
-122.25,37.85,52,342200,0.172095882,6.281853282,0,0,0,1,0
-122.25,37.85,52,269700,0.231773667,4.761658031,0,0,0,1,0
-122.25,37.84,52,299200,0.192899408,4.931906615,0,0,0,1,0
-122.25,37.84,52,241400,0.22132732,4.797527048,0,0,0,1,0
-122.26,37.84,42,226700,0.260273973,4.294117647,0,0,0,1,0
-122.25,37.84,52,261100,0.199211045,4.970588235,0,0,0,1,0
-122.26,37.85,52,281500,0.197093551,5.47761194,0,0,0,1,0
-122.26,37.85,52,241800,0.214673137,4.772479564,0,0,0,1,0
-122.26,37.85,52,213500,0.190285026,5.322649573,0,0,0,1,0
-122.26,37.84,52,191300,0.274425287,4,0,0,0,1,0
-122.26,37.85,52,159200,0.236852062,4.262903226,0,0,0,1,0
-122.26,37.85,50,140000,0.252678571,4.242424242,0,0,0,1,0
-122.27,37.85,52,152500,0.176500509,5.939577039,0,0,0,1,0
-122.27,37.85,52,155500,0.238599349,4.052805281,0,0,0,1,0
-122.26,37.84,50,158700,0.203215721,5.343675418,0,0,0,1,0
-122.27,37.84,52,162900,0.198270126,5.465454545,0,0,0,1,0
-122.27,37.85,40,147500,0.245006658,4.524096386,0,0,0,1,0
-122.27,37.85,42,159800,0.223917023,4.478142077,0,0,0,1,0
-122.27,37.84,52,113900,0.222085386,5.09623431,0,0,0,1,0
-122.27,37.84,52,99700,0.19964455,5.193846154,0,0,0,1,0
-122.27,37.84,52,132600,0.196492806,5.27014218,0,0,0,1,0
-122.28,37.85,41,107500,0.229906542,4.495798319,0,0,0,1,0
-122.28,37.85,49,93800,0.215929204,4.728033473,0,0,0,1,0
-122.28,37.85,52,105500,0.221812434,4.780856423,0,0,0,1,0
-122.28,37.84,50,108900,0.236311239,4.401691332,0,0,0,1,0
-122.28,37.84,52,132000,0.219478738,4.703225806,0,0,0,1,0
-122.28,37.84,49,122300,0.233298539,5.068783069,0,0,0,1,0
-122.28,37.84,52,115200,0.223409196,4.882086168,0,0,0,1,0
-122.27,37.84,48,110400,0.212799168,5.737313433,0,0,0,1,0
-122.27,37.83,49,104900,0.221148036,5.030395137,0,0,0,1,0
-122.27,37.83,51,109700,0.215384615,4.972014925,0,0,0,1,0
-122.27,37.83,49,97200,0.232098765,4.602272727,0,0,0,1,0
-122.27,37.83,48,104500,0.240266963,4.807486631,0,0,0,1,0
-122.28,37.83,52,103900,0.258107214,3.749379653,0,0,0,1,0
-122.26,37.83,52,191400,0.224489796,4.757281553,0,0,0,1,0
-122.26,37.83,52,176000,0.293996711,3.494252874,0,0,0,1,0
-122.26,37.83,52,155400,0.251651652,4.215189873,0,0,0,1,0
-122.26,37.83,51,150000,0.332264957,3.759036145,0,0,0,1,0
-122.26,37.84,49,118800,0.283309958,3.772486772,0,0,0,1,0
-122.26,37.84,52,188800,0.212631579,4.797979798,0,0,0,1,0
-122.26,37.83,52,184400,0.215523216,4.941780822,0,0,0,1,0
-122.26,37.83,52,182300,0.253623188,4.335078534,0,0,0,1,0
-122.26,37.83,50,142500,0.286222222,3.700657895,0,0,0,1,0
-122.27,37.82,43,137500,0.309831182,3.980237154,0,0,0,1,0
-122.26,37.82,40,187500,0.3125,3.9,0,0,0,1,0
-122.27,37.82,40,112500,0.39640592,2.6875,0,0,0,1,0
-122.27,37.82,21,171900,0.505580357,2.0456621,0,0,0,1,0
-122.27,37.82,43,93800,0.244111349,4.58968059,0,0,0,1,0
-122.27,37.82,41,97500,0.264824589,4.473611111,0,0,0,1,0
-122.27,37.82,52,104200,0.279754601,4.075,0,0,0,1,0
-122.28,37.82,52,87500,0.200854701,5.021459227,0,0,0,1,0
-122.28,37.82,52,83100,0.257142857,4.295454545,0,0,0,1,0
-122.28,37.82,52,87500,0.232633279,4.77992278,0,0,0,1,0
-122.28,37.82,52,85300,0.22498321,6.102459016,0,0,0,1,0
-122.28,37.82,52,80300,0.245854362,4.5625,0,0,0,1,0
-122.29,37.82,2,60000,0.272151899,2.771929825,0,0,0,1,0
-122.29,37.83,52,75700,0.188224799,5.994652406,0,0,0,1,0
-122.29,37.82,49,75000,0.214814815,5.869565217,0,0,0,1,0
-122.29,37.81,50,86100,0.25,6.229508197,0,0,0,1,0
-122.3,37.81,52,76100,0.193627451,7.698113208,0,0,0,1,0
-122.3,37.81,48,73500,0.219806763,6.22556391,0,0,0,1,0
-122.3,37.81,52,78400,0.206930693,5.401069519,0,0,0,1,0
-122.3,37.81,48,84400,0.243298969,4.38253012,0,0,0,1,0
-122.29,37.8,52,81300,0.2375852,6.986394558,0,0,0,1,0
-122.3,37.81,52,85000,0.190559441,6.975609756,0,0,0,1,0
-122.29,37.81,46,129200,0.229917886,4.584288052,0,0,0,1,0
-122.29,37.81,26,82500,0.197916667,6.047244094,0,0,0,1,0
-122.29,37.81,46,95200,0.317647059,3.375451264,0,0,0,1,0
-122.29,37.81,49,75000,0.241706161,5.552631579,0,0,0,1,0
-122.29,37.81,46,67500,0.333333333,1.714285714,0,0,0,1,0
-122.29,37.81,20,137500,0.192814371,6.278195489,0,0,0,1,0
-122.28,37.81,17,177500,0.373484236,2.817767654,0,0,0,1,0
-122.28,37.81,36,102100,0.192862045,5.724950884,0,0,0,1,0
-122.28,37.81,19,108300,0.201325601,5.830917874,0,0,0,1,0
-122.29,37.81,23,112500,0.214326648,5.369230769,0,0,0,1,0
-122.28,37.8,38,131300,0.257309942,4.412903226,0,0,0,1,0
-122.28,37.81,17,162500,0.312770563,3.197231834,0,0,0,1,0
-122.27,37.81,52,112500,0.266666667,3.75,0,0,0,1,0
-122.28,37.81,52,112500,0.285294118,3.908045977,0,0,0,1,0
-122.28,37.81,52,137500,0.424870466,2.490322581,0,0,0,1,0
-122.28,37.81,35,118800,0.194092827,5.609467456,0,0,0,1,0
-122.28,37.81,52,98200,0.184993532,6.72173913,0,0,0,1,0
-122.27,37.81,40,118800,0.5125,2.315789474,0,0,0,1,0
-122.27,37.81,10,162500,0.397714286,2.651515152,0,0,0,1,0
-122.27,37.8,10,137500,0.4,2.692307692,0,0,0,1,0
-122.27,37.8,52,500001,0.313253012,2.929411765,0,0,0,1,0
-122.27,37.8,16,162500,0.394366197,2.745856354,0,0,0,1,0
-122.28,37.8,52,137500,0.404651163,2.443181818,0,0,0,1,0
-122.28,37.8,52,162500,0.322916667,2.823529412,0,0,0,1,0
-122.27,37.79,27,187500,0.328909953,3.493377483,0,0,0,1,0
-122.27,37.8,39,179200,0.363265306,3.672376874,0,0,0,1,0
-122.26,37.8,36,130000,0.464815162,2.294016358,0,0,0,1,0
-122.26,37.82,31,183800,0.289599652,3.894915254,0,0,0,1,0
-122.26,37.81,29,125000,0.319402985,3.681318681,0,0,0,1,0
-122.26,37.82,22,170000,0.344921238,2.9456,0,0,0,1,0
-122.26,37.82,37,193100,0.298651252,3.707142857,0,0,0,1,0
-122.25,37.81,29,257800,0.303694158,3.7248,0,0,0,1,0
-122.25,37.81,28,273400,0.276093696,3.878423514,0,0,0,1,0
-122.25,37.81,39,237500,0.283372365,3.745614035,0,0,0,1,0
-122.25,37.81,52,350000,0.325290023,3.515497553,0,0,0,1,0
-122.26,37.81,34,335700,0.326009198,3.281721632,0,0,0,1,0
-122.24,37.82,52,313400,0.149105368,6.18442623,0,0,0,1,0
-122.24,37.81,52,268500,0.237907206,4.442982456,0,0,0,1,0
-122.25,37.81,52,259400,0.261660978,4.165876777,0,0,0,1,0
-122.24,37.82,52,275700,0.215742603,4.848189415,0,0,0,1,0
-122.25,37.82,28,225000,0.25621816,4.16084788,0,0,0,1,0
-122.25,37.82,52,262500,0.202949438,5.628458498,0,0,0,1,0
-122.25,37.82,32,218500,0.288264636,3.727005871,0,0,0,1,0
-122.25,37.82,26,255000,0.302096489,3.253081348,0,0,0,1,0
-122.25,37.83,52,224100,0.23526936,4.578034682,0,0,0,1,0
-122.25,37.83,35,243100,0.265344079,3.822274882,0,0,0,1,0
-122.25,37.83,52,231600,0.224394058,4.395189003,0,0,0,1,0
-122.25,37.83,28,218500,0.348466746,3.023479831,0,0,0,1,0
-122.25,37.83,52,234100,0.26372315,4.040501446,0,0,0,1,0
-122.23,37.84,50,327600,0.158648111,6.742627346,0,0,0,1,0
-122.23,37.84,47,347600,0.142992126,6.546391753,0,0,0,1,0
-122.24,37.83,41,366100,0.157608696,6.85106383,0,0,0,1,0
-122.24,37.85,37,335000,0.161676647,7.106382979,0,0,0,1,0
-122.23,37.85,52,373600,0.146785714,6.947890819,0,0,0,1,0
-122.24,37.84,52,389500,0.162652309,6.358558559,0,0,0,1,0
-122.24,37.85,52,391100,0.139739663,7.117166213,0,0,0,1,0
-122.22,37.85,28,337300,0.198222054,5.530334728,0,0,0,1,0
-122.22,37.84,50,295200,0.161158433,6.127348643,0,0,0,1,0
-122.21,37.84,44,292300,0.174357477,5.735343384,0,0,0,1,0
-122.21,37.83,40,411500,0.135043078,7.631498471,0,0,0,1,0
-122.2,37.84,30,311500,0.156490276,6.44606414,0,0,0,1,0
-122.21,37.84,34,325900,0.161290323,6.125,0,0,0,1,0
-122.19,37.84,18,392600,0.12987013,8.335051546,0,0,0,1,0
-122.2,37.84,35,319300,0.160558464,6.467268623,0,0,0,1,0
-122.21,37.83,34,333300,0.155577493,6.61227154,0,0,0,1,0
-122.19,37.83,28,335200,0.138763198,6.978947368,0,0,0,1,0
-122.2,37.83,26,351200,0.140339836,7.530805687,0,0,0,1,0
-122.19,37.83,29,368900,0.151312116,6.657992565,0,0,0,1,0
-122.19,37.82,32,365900,0.14386921,6.977186312,0,0,0,1,0
-122.2,37.82,37,366700,0.147274207,6.982954545,0,0,0,1,0
-122.2,37.82,39,362800,0.141644562,7.54,0,0,0,1,0
-122.18,37.81,30,483300,0.130136986,5.615384615,0,0,0,1,0
-122.21,37.82,52,331400,0.140210526,6.785714286,0,0,0,1,0
-122.2,37.81,45,323500,0.147098516,6.957746479,0,0,0,1,0
-122.21,37.8,50,216700,0.213554536,5.132246377,0,0,0,1,0
-122.21,37.8,38,233100,0.237355812,4.628336756,0,0,0,1,0
-122.21,37.81,52,296400,0.15262779,6.200892857,0,0,0,1,0
-122.22,37.81,52,273700,0.169964485,6.399350649,0,0,0,1,0
-122.22,37.8,52,227700,0.21300962,4.745652174,0,0,0,1,0
-122.22,37.8,52,199600,0.202974628,5.183673469,0,0,0,1,0
-122.22,37.8,52,239800,0.198823962,5.283495146,0,0,0,1,0
-122.22,37.81,52,270100,0.167490119,5.952941176,0,0,0,1,0
-122.22,37.81,52,302100,0.182065217,5.650671785,0,0,0,1,0
-122.23,37.8,52,269500,0.239055583,4.4291939,0,0,0,1,0
-122.23,37.81,52,314700,0.159804606,6.727699531,0,0,0,1,0
